City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Pune,2023-10-26,144,145.53,204.64,76.84,24.04,1.07,19.93
Pune,2023-03-28,123,105.74,218.45,33.63,27.31,0.97,8.73
Mumbai,2023-04-11,177,162.63,271.24,64.6,37.53,0.27,132.48
Bangalore,2023-02-09,87,65.79,131.89,103.03,41.02,1.76,61.84
Hyderabad,2023-02-02,116,91.49,202.63,88.62,2.06,2.35,28.86
Bangalore,2023-09-11,115,61.18,244.19,57.19,54.3,0.93,60.28
Pune,2023-12-14,93,57.05,161.81,102.11,20.66,1.15,94.19
Delhi,2023-08-13,95,97.31,121.5,72.46,50.7,1.7,15.2
Pune,2023-01-18,99,82.42,135.32,88.67,37.23,2.17,141.89
Hyderabad,2023-10-27,83,116.53,46.62,28.05,34.25,0.67,132.1
Pune,2023-06-24,119,96.58,189.6,84.56,31.88,2.2,87.41
Delhi,2023-01-13,72,22.78,150.11,99.38,49.93,2.11,76.63
Pune,2023-10-28,53,12.59,104.9,85.27,63.64,0.88,76.87
Delhi,2023-08-22,74,88.0,84.78,20.68,17.34,0.33,33.73
Hyderabad,2023-07-03,112,129.18,108.59,116.91,17.11,1.0,56.89
Pune,2023-04-24,112,169.45,28.96,113.12,71.58,1.43,83.82
Delhi,2023-01-04,96,83.84,136.48,90.87,9.32,1.38,86.81
Hyderabad,2023-07-26,86,84.88,108.65,51.02,13.74,1.36,121.24
Bangalore,2023-06-22,146,103.22,257.65,86.2,40.26,0.79,133.31
Delhi,2023-04-07,65,52.02,95.35,97.36,5.44,2.48,23.9
Chennai,2023-08-03,103,26.64,245.59,81.96,59.13,1.19,103.56
Chennai,2023-04-06,133,156.11,145.1,59.37,52.2,0.45,68.26
Pune,2023-02-20,99,69.68,197.37,17.17,51.03,0.42,18.77
Bangalore,2023-07-16,129,71.59,293.68,9.3,36.72,0.46,55.95
Hyderabad,2023-07-26,101,100.32,121.78,78.72,72.3,0.58,60.3
Bangalore,2023-06-22,144,128.74,224.08,112.17,23.75,2.39,14.17
Pune,2023-02-07,152,179.82,168.35,81.98,66.86,0.55,10.6
Pune,2023-08-09,134,59.64,294.93,108.26,12.02,0.26,104.81
Hyderabad,2023-07-30,191,180.07,295.14,78.26,14.61,2.28,79.86
Hyderabad,2023-02-18,175,185.13,232.09,89.15,57.32,0.66,35.6
Mumbai,2023-01-08,93,68.85,155.19,42.15,67.44,0.88,100.67
Pune,2023-02-10,167,140.5,275.72,74.99,45.67,2.41,95.97
Mumbai,2023-07-15,115,65.55,217.49,89.58,25.67,0.99,148.7
Ahmedabad,2023-09-06,65,86.88,37.49,99.42,9.2,1.75,13.19
Kolkata,2023-09-17,138,170.18,131.67,65.04,33.32,0.89,121.47
Kolkata,2023-05-18,105,147.36,77.74,33.73,28.24,1.56,70.89
Mumbai,2023-06-11,123,166.98,83.74,65.31,64.88,1.01,98.12
Delhi,2023-09-06,93,30.76,242.43,16.38,23.17,2.17,55.24
Bangalore,2023-09-20,131,196.15,95.12,9.71,56.99,1.24,19.61
Pune,2023-04-05,96,15.92,263.66,20.95,11.93,0.6,144.24
Bangalore,2023-11-15,130,162.26,131.34,43.68,20.29,1.31,85.02
Pune,2023-11-20,125,58.85,285.62,24.52,77.32,0.23,74.76
Chennai,2023-01-16,114,95.33,179.79,55.09,34.36,1.89,104.45
Pune,2023-02-10,97,57.49,190.67,72.3,30.84,1.32,50.5
Chennai,2023-09-22,170,150.37,270.03,56.51,43.38,1.16,128.3
Ahmedabad,2023-03-09,73,55.54,124.33,31.49,45.76,0.51,51.43
Mumbai,2023-11-04,121,87.75,229.51,18.05,21.31,2.06,115.63
Chennai,2023-03-13,196,191.34,274.98,115.66,35.38,0.65,95.87
Delhi,2023-01-14,97,33.83,240.22,7.08,39.65,0.96,112.34
Chennai,2023-11-06,96,110.67,101.2,77.32,11.2,1.71,46.08
Ahmedabad,2023-05-03,186,187.39,262.86,31.87,62.71,1.6,145.78
Hyderabad,2023-06-29,92,139.48,37.79,50.57,77.18,1.44,46.74
Delhi,2023-05-05,143,143.67,200.56,48.0,76.17,0.25,49.04
Ahmedabad,2023-07-06,79,70.98,90.63,66.44,66.26,0.44,141.74
Ahmedabad,2023-06-28,101,44.44,219.36,49.27,33.38,2.0,144.6
Delhi,2023-04-05,161,147.18,282.57,15.49,3.52,2.05,20.68
Hyderabad,2023-11-17,165,165.05,244.72,60.94,25.28,1.67,46.78
Ahmedabad,2023-02-20,42,35.48,35.79,104.85,24.99,0.2,37.45
Delhi,2023-11-08,153,198.29,166.59,28.54,28.12,0.96,7.86
Kolkata,2023-09-30,96,142.09,53.67,31.53,29.36,1.94,89.45
Ahmedabad,2023-08-04,129,117.73,211.41,5.33,74.61,0.46,63.91
Delhi,2023-01-01,45,21.12,105.52,23.13,15.57,1.95,7.3
Bangalore,2023-01-12,103,82.1,161.83,69.73,26.44,0.88,111.34
Delhi,2023-02-03,103,28.55,271.38,45.24,45.0,1.03,23.24
Kolkata,2023-09-08,87,109.78,76.84,56.96,64.16,1.56,19.05
Ahmedabad,2023-11-05,157,143.52,241.96,77.35,13.91,1.83,103.21
Ahmedabad,2023-11-18,94,88.23,113.23,81.98,18.86,1.56,137.41
Bangalore,2023-08-10,80,12.03,194.37,52.48,69.07,0.78,147.25
Chennai,2023-01-08,105,160.77,43.97,26.1,61.16,0.25,123.45
Pune,2023-03-15,115,134.85,122.23,75.32,56.29,0.99,20.65
Pune,2023-01-29,124,121.9,165.78,90.35,41.76,1.17,62.72
Chennai,2023-09-22,93,14.78,222.42,98.19,64.15,0.49,135.98
Delhi,2023-01-13,146,180.53,145.2,55.25,63.19,0.41,80.53
Bangalore,2023-05-20,183,167.74,287.72,85.3,18.21,0.25,74.52
Kolkata,2023-05-08,60,55.65,54.92,72.41,61.61,2.48,114.95
Mumbai,2023-07-14,170,127.13,296.06,78.59,69.1,2.38,139.83
Mumbai,2023-11-07,37,24.95,68.12,11.81,10.22,0.62,54.46
Chennai,2023-04-04,99,50.08,208.31,85.99,45.57,2.28,21.09
Kolkata,2023-03-10,138,162.58,140.91,95.37,38.07,2.36,75.52
Delhi,2023-12-07,169,159.16,250.04,68.77,16.02,1.28,145.37
Pune,2023-02-16,163,148.93,264.16,16.28,36.03,2.41,125.95
Delhi,2023-09-13,165,154.89,253.35,45.02,71.59,1.28,81.53
Chennai,2023-07-11,129,170.23,121.3,6.19,50.84,1.82,99.37
Chennai,2023-12-14,138,173.96,145.67,12.23,39.13,1.79,93.12
Delhi,2023-04-09,88,99.08,102.25,36.89,41.02,0.57,54.4
Hyderabad,2023-02-14,90,121.56,38.67,100.41,45.87,1.74,106.95
Hyderabad,2023-10-08,150,99.37,287.75,93.17,77.63,1.92,30.46
Ahmedabad,2023-09-08,105,119.76,120.19,36.68,64.96,1.04,50.97
Pune,2023-02-14,135,170.79,119.78,100.74,68.36,1.18,14.64
Bangalore,2023-02-07,111,109.43,116.34,119.67,62.25,1.95,143.51
Pune,2023-09-09,70,70.46,66.48,90.78,31.51,1.29,96.41
Delhi,2023-04-21,129,89.63,239.33,35.86,56.44,0.2,131.37
Hyderabad,2023-09-12,89,145.42,32.95,35.62,40.78,1.17,32.82
Bangalore,2023-05-08,144,148.26,207.39,13.26,60.29,0.32,83.72
Delhi,2023-07-08,104,121.66,93.17,118.27,26.16,0.76,45.38
Pune,2023-12-10,149,130.88,224.59,110.57,73.13,1.9,33.68
Ahmedabad,2023-04-07,109,48.72,228.01,83.84,61.19,1.43,97.62
Hyderabad,2023-11-05,102,92.99,165.65,38.92,3.19,0.71,45.88
Bangalore,2023-10-28,169,182.49,221.95,82.87,42.76,2.0,27.57
Hyderabad,2023-10-28,127,57.11,279.78,112.2,58.21,1.96,18.27
Hyderabad,2023-03-17,103,26.42,243.79,108.34,75.41,2.2,46.69
Delhi,2023-03-09,72,91.04,59.0,7.56,69.79,1.47,93.26
Ahmedabad,2023-09-03,92,39.14,225.33,5.05,48.5,2.31,46.75
Hyderabad,2023-02-20,149,133.82,219.53,84.12,26.91,0.78,143.61
Delhi,2023-04-09,136,96.89,256.93,57.02,35.1,0.56,66.83
Delhi,2023-01-08,130,94.38,238.78,83.21,51.54,2.29,7.61
Chennai,2023-02-12,139,159.6,171.57,42.25,12.63,2.24,73.26
Bangalore,2023-12-19,139,121.31,208.77,97.49,53.41,1.12,79.48
Bangalore,2023-05-23,89,80.99,128.67,16.0,73.34,0.41,98.99
Hyderabad,2023-09-28,116,87.07,210.27,12.72,48.31,1.98,125.09
Hyderabad,2023-02-21,170,180.51,203.72,106.41,39.85,1.45,138.26
Hyderabad,2023-05-13,85,95.15,96.84,50.21,32.25,0.86,43.94
Mumbai,2023-08-30,80,23.27,209.73,24.87,28.87,0.34,44.15
Mumbai,2023-05-11,127,178.15,82.03,58.31,38.69,2.21,115.61
Hyderabad,2023-01-15,153,137.44,257.26,6.1,33.43,2.29,112.35
Mumbai,2023-11-27,105,110.63,117.38,64.86,53.12,1.16,108.55
Pune,2023-01-30,76,39.39,146.43,51.92,55.62,0.77,97.84
Bangalore,2023-04-15,146,89.45,275.08,119.21,10.28,0.74,142.81
Bangalore,2023-01-27,126,107.18,200.33,16.76,67.87,1.54,147.98
Delhi,2023-02-21,166,168.48,243.93,44.73,22.25,1.19,72.75
Delhi,2023-10-05,163,179.97,171.91,117.52,65.18,1.48,142.32
Mumbai,2023-05-23,136,178.55,120.28,48.54,34.61,1.46,85.26
Chennai,2023-04-08,132,68.14,279.62,72.69,33.8,1.7,116.36
Delhi,2023-04-18,78,104.91,51.39,55.69,39.36,2.26,62.25
Delhi,2023-04-19,150,102.18,292.66,5.94,72.11,2.34,144.35
Mumbai,2023-06-15,87,42.62,203.05,7.93,6.96,0.71,79.3
Pune,2023-11-18,40,16.51,67.7,62.47,48.33,0.54,62.83
Pune,2023-01-20,204,199.79,296.42,106.39,32.78,1.78,65.41
Kolkata,2023-04-11,118,125.18,166.65,7.82,63.67,0.23,47.51
Kolkata,2023-03-31,166,192.95,185.05,59.18,46.73,2.33,125.11
Ahmedabad,2023-04-12,65,55.08,93.54,63.01,60.04,1.36,14.83
Ahmedabad,2023-04-11,128,163.13,101.06,81.37,35.27,2.24,127.56
Chennai,2023-02-13,160,141.39,267.34,62.01,26.43,1.93,36.91
Chennai,2023-10-13,162,174.49,222.84,51.44,18.75,1.02,46.2
Hyderabad,2023-04-01,113,151.23,90.58,57.23,32.1,2.46,61.71
Chennai,2023-02-12,78,27.07,185.41,73.93,34.66,1.19,12.82
Mumbai,2023-11-16,148,127.32,232.99,60.28,74.66,1.83,113.45
Ahmedabad,2023-11-30,128,168.1,121.15,29.54,32.03,1.9,65.56
Pune,2023-02-16,94,31.58,245.68,34.12,21.42,1.56,15.17
Hyderabad,2023-03-18,95,59.6,170.66,109.38,68.02,1.33,10.37
Ahmedabad,2023-01-06,112,34.01,292.63,31.52,62.28,0.98,25.75
Bangalore,2023-04-26,110,68.68,204.48,70.14,38.8,1.34,111.17
Hyderabad,2023-08-15,154,136.95,270.83,11.65,12.97,1.85,68.41
Ahmedabad,2023-04-30,72,36.02,161.9,19.55,39.18,1.96,42.45
Bangalore,2023-04-13,175,198.48,212.26,101.76,34.36,1.97,10.87
Bangalore,2023-07-27,81,48.58,132.55,102.26,29.01,1.71,107.85
Hyderabad,2023-01-07,100,119.64,115.83,14.65,79.44,0.49,15.49
Kolkata,2023-10-21,102,67.35,202.08,42.84,32.53,0.8,54.74
Bangalore,2023-07-03,138,146.88,163.23,113.51,5.27,1.36,89.71
Kolkata,2023-09-02,75,19.34,180.58,103.17,20.87,2.22,7.76
Delhi,2023-01-05,164,187.29,204.02,55.49,5.5,2.32,73.19
Pune,2023-05-25,124,141.07,154.91,19.3,18.71,0.35,88.27
Chennai,2023-04-04,145,106.09,248.79,104.02,50.02,0.23,105.81
Pune,2023-11-24,132,117.46,201.74,45.28,73.53,0.51,102.37
Hyderabad,2023-11-27,96,116.43,63.07,96.25,73.36,0.59,123.52
Hyderabad,2023-12-28,185,188.29,275.96,67.84,29.78,0.22,13.83
Chennai,2023-09-17,57,28.94,96.29,100.66,78.48,1.34,6.41
Chennai,2023-07-10,102,71.2,182.0,13.64,75.58,1.04,137.32
Mumbai,2023-03-25,104,79.08,168.82,105.26,55.62,0.46,26.42
Delhi,2023-09-15,43,47.18,27.8,97.58,3.52,2.11,25.9
Hyderabad,2023-09-25,114,94.32,179.84,65.61,4.98,1.61,125.07
Kolkata,2023-09-07,88,122.79,65.97,19.2,78.44,1.11,37.98
Delhi,2023-03-04,55,49.15,61.31,96.65,6.91,1.78,58.14
Bangalore,2023-08-16,138,84.11,261.8,111.87,25.67,2.19,118.32
Pune,2023-01-13,94,56.69,181.55,36.57,66.28,0.21,86.9
Hyderabad,2023-03-09,66,15.05,177.35,29.64,28.59,2.01,32.84
Mumbai,2023-07-20,167,134.37,287.15,94.14,64.68,1.42,32.08
Kolkata,2023-12-29,130,114.4,209.96,74.89,32.73,0.81,29.39
Bangalore,2023-04-10,141,132.63,212.46,47.84,22.47,1.95,117.18
Delhi,2023-01-11,116,126.26,124.59,85.72,67.19,1.78,79.32
Mumbai,2023-06-28,136,139.16,176.44,76.87,9.53,2.39,119.66
Ahmedabad,2023-06-29,190,187.07,275.8,65.42,58.54,1.2,96.36
Chennai,2023-01-20,54,40.7,53.14,92.48,74.35,1.25,100.62
Chennai,2023-09-26,99,27.12,235.73,75.93,48.69,0.87,104.16
Mumbai,2023-02-20,77,31.44,169.39,16.65,70.06,1.37,122.16
Kolkata,2023-09-20,31,33.76,31.62,37.37,21.05,1.49,8.15
Delhi,2023-08-25,109,84.44,181.59,85.78,51.46,2.46,25.05
Hyderabad,2023-10-05,99,90.72,136.77,81.34,40.21,1.39,67.69
Delhi,2023-02-03,132,186.24,106.16,17.83,67.5,2.49,47.43
Hyderabad,2023-12-18,63,53.39,81.63,28.13,73.95,2.16,117.36
Bangalore,2023-03-21,104,105.83,150.01,34.14,41.39,0.27,24.11
Delhi,2023-07-28,131,152.82,138.4,64.47,30.86,1.9,118.71
Pune,2023-07-26,108,147.3,77.26,43.87,38.65,0.96,114.47
Delhi,2023-04-28,136,196.18,83.25,75.4,35.77,0.36,75.74
Ahmedabad,2023-12-26,140,107.51,264.19,38.23,8.73,2.35,59.84
Ahmedabad,2023-03-11,124,160.48,110.81,87.36,12.56,0.87,25.98
Chennai,2023-11-22,109,52.3,220.87,113.48,43.17,1.44,71.85
Chennai,2023-10-31,111,116.88,132.6,79.05,44.95,0.78,62.67
Kolkata,2023-06-16,147,180.06,130.03,115.6,34.43,1.58,107.92
Bangalore,2023-07-28,108,56.48,228.92,64.89,22.95,1.99,85.07
Delhi,2023-07-02,98,71.35,154.76,76.0,33.58,0.66,144.44
Delhi,2023-01-21,125,149.44,135.09,45.84,33.76,1.14,83.91
Chennai,2023-08-24,150,130.52,249.13,78.7,26.21,1.71,35.52
Chennai,2023-11-01,87,55.61,175.94,17.45,74.8,0.97,36.75
Mumbai,2023-04-03,90,62.63,169.77,45.08,12.3,0.81,68.57
Ahmedabad,2023-01-28,153,156.42,194.11,74.16,44.59,1.56,140.52
Hyderabad,2023-01-03,96,91.57,134.21,18.1,54.74,1.81,109.53
Mumbai,2023-01-13,111,10.01,287.1,98.63,72.51,0.24,140.41
Bangalore,2023-05-06,110,49.14,251.96,66.84,13.94,1.36,64.91
Pune,2023-10-19,124,123.87,153.37,112.28,7.93,1.35,104.61
Mumbai,2023-08-15,154,120.77,274.5,113.33,7.02,1.13,8.4
Ahmedabad,2023-01-24,89,95.77,89.15,95.84,51.49,1.43,61.92
Hyderabad,2023-11-08,137,166.32,146.39,62.67,42.62,1.23,42.13
Chennai,2023-12-28,88,28.72,232.09,30.71,6.34,2.03,27.34
Bangalore,2023-12-18,128,104.28,213.19,43.49,56.25,1.81,107.07
Hyderabad,2023-05-26,78,95.12,72.88,35.89,43.68,2.12,63.27
Pune,2023-04-21,115,67.79,235.83,42.63,20.89,0.59,117.35
Kolkata,2023-08-03,131,156.73,141.7,43.04,15.94,1.96,119.02
Ahmedabad,2023-05-13,136,191.89,109.09,30.26,54.84,1.94,37.61
Kolkata,2023-12-23,185,164.0,293.42,79.14,23.67,2.49,134.52
Bangalore,2023-02-07,177,166.81,248.43,112.5,67.59,1.68,93.35
Ahmedabad,2023-02-11,154,129.03,242.66,116.44,38.45,1.52,69.5
Kolkata,2023-03-10,177,176.39,244.4,113.49,9.68,0.81,76.78
Mumbai,2023-03-13,46,22.18,70.26,93.04,40.5,2.23,62.6
Bangalore,2023-05-08,118,76.04,219.58,68.83,72.53,1.58,76.49
Pune,2023-12-03,144,190.03,119.64,33.74,50.06,1.35,148.43
Mumbai,2023-08-07,113,24.12,293.66,102.01,15.9,2.28,54.4
Pune,2023-04-22,146,182.21,168.43,20.84,30.79,1.86,30.26
Kolkata,2023-03-11,122,97.58,208.72,67.27,67.79,1.95,13.45
Mumbai,2023-04-10,130,177.17,110.91,50.57,33.72,1.49,38.12
Pune,2023-09-14,112,66.16,217.5,64.02,47.7,0.61,111.58
Delhi,2023-07-30,130,113.87,218.6,10.75,7.41,2.05,122.31
Hyderabad,2023-04-16,135,120.46,238.62,27.05,5.91,2.21,15.96
Delhi,2023-02-12,159,134.25,278.33,11.52,4.3,0.61,148.03
Pune,2023-11-17,89,126.78,33.17,106.1,65.4,1.73,54.17
Hyderabad,2023-06-30,136,120.21,221.51,15.84,51.43,0.86,115.82
Kolkata,2023-01-04,71,102.78,26.32,84.0,24.93,1.49,48.63
Delhi,2023-12-16,87,54.13,169.74,27.87,41.66,0.56,102.29
Chennai,2023-02-18,68,30.97,150.98,13.15,48.66,0.81,81.51
Hyderabad,2023-11-23,159,185.63,173.74,72.04,33.33,2.38,117.69
Mumbai,2023-08-01,146,170.4,141.07,100.3,66.19,0.63,106.67
Mumbai,2023-02-23,79,66.52,102.98,88.44,19.93,0.2,108.71
Kolkata,2023-01-06,54,29.85,86.5,48.69,39.12,0.3,145.73
Delhi,2023-08-30,78,71.41,109.24,56.58,50.85,0.54,32.39
Bangalore,2023-09-10,85,58.69,126.45,105.2,53.73,0.99,104.14
Hyderabad,2023-02-05,142,149.77,156.36,98.52,76.46,2.33,136.84
Hyderabad,2023-08-25,103,78.43,150.21,84.34,70.95,0.68,138.14
Ahmedabad,2023-07-27,64,85.31,41.79,47.97,55.72,1.74,28.23
Chennai,2023-10-31,153,180.86,194.65,5.65,16.53,0.43,57.68
Pune,2023-10-03,53,18.25,117.57,25.61,52.47,1.27,76.82
Delhi,2023-04-17,136,191.64,80.13,64.42,59.41,1.48,139.71
Hyderabad,2023-10-21,40,44.09,27.12,9.53,47.83,0.34,143.99
Ahmedabad,2023-09-12,115,67.9,250.3,30.16,20.95,1.68,45.03
Kolkata,2023-04-26,110,71.24,190.91,113.0,54.4,0.37,71.8
Bangalore,2023-02-13,117,27.95,296.89,114.14,8.11,2.35,57.65
Mumbai,2023-03-16,103,89.49,143.44,77.94,62.41,0.28,91.01
Mumbai,2023-06-13,81,75.73,117.43,58.94,28.06,0.45,26.12
Kolkata,2023-04-16,114,167.11,47.44,85.95,28.36,0.91,140.22
Hyderabad,2023-04-03,110,132.08,97.04,63.32,63.33,2.23,126.61
Chennai,2023-06-08,105,57.28,205.15,86.64,2.83,1.21,127.27
Chennai,2023-07-06,119,69.16,264.1,22.93,18.1,1.78,56.1
Delhi,2023-05-26,55,39.96,90.64,23.01,76.33,1.13,53.9
Mumbai,2023-08-01,70,39.15,137.92,12.88,41.84,1.25,116.24
Hyderabad,2023-03-15,90,94.73,82.9,88.59,57.21,0.55,137.64
Hyderabad,2023-11-14,46,20.46,72.46,109.59,42.56,2.01,38.04
Pune,2023-03-02,122,78.07,251.79,7.6,21.02,0.55,129.58
Hyderabad,2023-12-10,104,86.8,145.86,116.77,68.32,1.82,47.12
Delhi,2023-05-01,142,185.07,138.46,37.06,38.73,2.31,61.12
Ahmedabad,2023-06-12,136,162.56,139.6,31.86,79.57,2.4,127.3
Delhi,2023-03-07,108,136.31,100.13,27.88,75.04,0.24,68.48
Delhi,2023-10-07,92,46.7,207.02,15.75,41.61,0.57,65.37
Mumbai,2023-01-29,90,122.07,76.17,38.04,14.63,0.77,37.61
Hyderabad,2023-10-07,153,116.91,284.59,27.49,52.05,2.08,86.24
Delhi,2023-02-05,48,59.88,30.99,40.13,60.08,0.31,36.8
Bangalore,2023-04-03,123,119.77,164.22,83.86,52.66,1.18,66.62
Delhi,2023-06-24,117,107.52,184.41,59.8,27.41,1.86,15.83
Kolkata,2023-10-03,101,13.92,289.46,58.17,34.19,0.79,6.46
Ahmedabad,2023-08-29,90,30.79,204.75,41.69,61.84,0.68,135.53
Bangalore,2023-06-13,64,31.76,132.24,28.78,17.58,1.36,102.42
Mumbai,2023-05-22,36,42.8,20.74,56.85,29.49,1.48,32.27
Chennai,2023-08-18,70,90.13,61.1,60.08,3.36,1.89,15.67
Chennai,2023-10-27,141,156.32,149.45,87.12,59.4,0.52,145.1
Ahmedabad,2023-11-09,86,119.3,56.65,57.62,22.93,2.14,50.47
Hyderabad,2023-10-02,128,124.88,212.18,7.11,26.32,1.67,6.36
Bangalore,2023-07-23,158,171.86,211.53,35.52,55.66,2.02,49.49
Hyderabad,2023-12-27,134,187.23,116.65,17.25,40.36,1.97,37.14
Bangalore,2023-11-14,139,198.42,75.27,71.18,74.17,0.54,145.77
Chennai,2023-11-18,121,77.53,249.74,10.14,60.92,0.81,74.14
Chennai,2023-04-17,64,61.56,71.86,83.35,43.6,1.38,42.23
Bangalore,2023-09-02,70,87.95,49.84,109.19,5.22,1.19,12.58
Delhi,2023-04-15,47,26.95,79.12,62.75,3.56,0.78,80.02
Delhi,2023-02-01,93,60.26,163.93,70.91,74.21,1.68,65.14
Bangalore,2023-11-17,113,159.13,76.0,20.05,54.71,1.49,119.5
Pune,2023-05-15,162,128.79,296.19,66.36,10.82,2.11,41.52
Mumbai,2023-05-08,172,191.85,215.1,73.54,37.91,1.04,56.19
Ahmedabad,2023-12-15,147,152.74,209.98,27.82,40.53,2.02,73.98
Bangalore,2023-01-16,59,79.23,23.39,33.66,58.07,1.59,137.88
Bangalore,2023-08-26,103,39.5,240.99,46.23,11.23,2.49,119.15
Kolkata,2023-04-16,101,144.95,52.31,51.78,68.14,1.05,90.71
Delhi,2023-08-08,161,132.73,292.41,11.41,46.77,2.18,74.8
Kolkata,2023-05-10,104,116.5,112.98,22.82,68.22,1.4,140.33
Bangalore,2023-04-13,56,10.95,139.79,27.71,73.04,0.6,46.48
Delhi,2023-11-09,64,60.04,78.76,73.9,8.94,0.33,58.98
Chennai,2023-12-10,108,115.41,138.41,70.06,30.51,2.35,12.96
Ahmedabad,2023-05-21,167,179.34,245.09,26.16,25.08,1.85,17.22
Delhi,2023-10-11,169,152.17,242.34,116.43,46.72,0.71,130.02
Hyderabad,2023-06-13,106,88.72,152.6,52.29,74.54,0.99,144.71
Chennai,2023-11-06,130,129.8,182.35,47.56,3.43,0.49,114.36
Kolkata,2023-09-06,62,38.47,93.91,114.0,30.64,2.29,49.17
Hyderabad,2023-04-23,134,124.94,191.95,66.17,9.16,1.22,149.93
Chennai,2023-02-17,170,179.76,250.5,16.85,19.74,0.21,49.01
Pune,2023-08-06,127,99.83,209.6,105.57,60.44,2.36,12.82
Ahmedabad,2023-10-07,106,135.65,101.02,34.15,27.81,0.82,79.16
Delhi,2023-09-06,125,107.36,208.36,49.52,21.6,0.58,55.67
Delhi,2023-07-21,148,153.77,206.73,31.91,47.87,1.51,75.22
Delhi,2023-10-07,115,103.44,178.33,87.28,10.55,1.92,24.7
Mumbai,2023-07-21,190,195.46,287.96,11.95,36.57,0.63,75.38
Hyderabad,2023-10-14,96,127.05,54.79,71.64,53.88,1.21,143.21
Kolkata,2023-06-25,86,51.8,154.18,82.67,27.24,0.38,89.6
Chennai,2023-02-11,147,102.16,273.71,101.03,13.5,1.83,68.14
Hyderabad,2023-12-26,151,140.52,227.95,25.69,73.33,1.93,140.34
Kolkata,2023-11-25,139,188.47,123.18,11.21,61.51,1.82,91.7
Kolkata,2023-09-24,118,128.67,136.71,69.42,35.49,2.42,92.6
Mumbai,2023-05-16,152,187.91,185.65,6.39,4.67,1.82,45.47
Bangalore,2023-08-07,70,48.43,95.67,63.03,78.09,1.62,140.74
Delhi,2023-08-08,77,49.54,107.13,93.55,69.61,1.39,149.02
Chennai,2023-03-08,98,66.92,194.49,58.97,11.1,1.05,8.69
Mumbai,2023-01-04,181,179.62,267.76,85.45,38.33,1.38,24.85
Delhi,2023-04-19,112,45.67,249.94,110.2,43.88,1.87,22.61
Delhi,2023-03-13,129,143.53,146.78,32.98,70.44,1.91,135.48
Pune,2023-05-27,128,198.17,73.81,14.98,28.29,0.5,80.85
Delhi,2023-10-10,104,119.87,92.59,109.51,3.65,1.0,109.25
Pune,2023-05-22,64,89.06,24.73,76.08,6.92,0.45,99.29
Pune,2023-10-15,134,80.68,257.16,100.21,31.86,1.55,109.52
Chennai,2023-12-03,124,111.13,189.92,61.21,33.82,0.69,74.96
Pune,2023-01-23,95,107.26,109.49,24.28,22.5,0.28,107.14
Mumbai,2023-05-01,44,27.91,68.07,16.79,49.78,0.42,114.37
Mumbai,2023-01-02,122,57.38,269.39,87.63,7.69,2.09,76.49
Kolkata,2023-02-25,141,124.14,210.91,119.25,20.12,1.64,71.75
Bangalore,2023-09-17,150,128.79,251.67,83.04,7.09,0.91,46.76
Ahmedabad,2023-07-02,135,174.88,123.64,13.18,71.74,2.24,128.94
Bangalore,2023-07-15,83,101.25,69.68,59.91,40.58,1.33,83.12
Ahmedabad,2023-09-09,92,79.59,141.57,20.08,37.52,2.06,125.07
Mumbai,2023-02-17,79,108.57,29.42,82.56,33.56,1.22,131.68
Chennai,2023-09-13,77,36.58,163.68,32.88,16.38,0.35,115.58
Delhi,2023-03-16,144,129.06,223.73,83.12,38.7,1.09,59.51
Ahmedabad,2023-02-08,145,104.01,257.76,105.59,15.3,0.51,96.41
Ahmedabad,2023-03-06,100,13.53,268.82,31.09,74.48,1.85,115.58
Mumbai,2023-01-23,82,54.5,165.95,24.79,25.82,0.94,28.15
Chennai,2023-03-13,105,159.82,66.81,8.27,51.09,2.44,53.03
Ahmedabad,2023-09-20,157,118.37,273.78,95.17,50.56,0.92,83.57
Delhi,2023-03-20,153,139.0,223.03,115.98,22.31,0.24,84.11
Chennai,2023-09-08,115,125.37,136.41,48.66,31.86,1.56,98.91
Mumbai,2023-10-28,55,25.93,117.17,53.19,3.32,1.04,44.69
Pune,2023-10-27,111,73.92,223.33,63.64,12.12,1.93,19.39
Chennai,2023-11-18,101,142.82,90.82,9.66,33.43,2.35,6.71
Ahmedabad,2023-10-05,56,45.01,79.66,36.17,25.73,1.38,108.45
Mumbai,2023-11-22,117,26.8,287.22,110.95,6.21,1.03,122.91
Mumbai,2023-10-25,152,158.03,221.33,62.13,5.22,1.54,12.04
Hyderabad,2023-01-01,155,162.08,183.8,119.66,37.56,1.92,101.75
Chennai,2023-08-05,111,145.51,65.93,114.88,54.09,0.34,100.35
Mumbai,2023-11-29,110,119.64,119.13,99.4,63.04,1.45,27.38
Kolkata,2023-09-20,159,150.31,245.7,37.12,30.7,0.38,108.45
Chennai,2023-12-04,32,18.84,21.22,79.21,34.56,0.88,137.34
Ahmedabad,2023-02-18,140,83.98,283.29,54.12,45.27,0.38,119.57
Hyderabad,2023-02-23,117,162.1,91.06,53.59,63.35,2.44,13.65
Chennai,2023-09-01,162,175.77,219.38,71.7,8.94,1.8,29.13
Pune,2023-10-08,82,57.51,136.77,45.3,68.99,0.49,87.02
Kolkata,2023-02-26,165,143.91,273.42,54.98,40.07,2.33,80.54
